Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category
152909205,2025-10-11 09:05:00,"Craven Street, Strand",1160,2025-10-11 14:27:00,"Park Lane , Hyde Park",1037,61178,PBSC_EBIKE,5h 22m 17s,19337601,322.29335,Anamoly (>300 mins)
152908242,2025-10-11 07:52:00,"Disraeli Road, Putney",200217,2025-10-12 17:48:00,Mechanical Workshop Penton,10626,62195,PBSC_EBIKE,1d 9h 55m 38s,122138757,2035.64595,Anamoly (>300 mins)
152907776,2025-10-11 06:05:00,"Gloucester Street, Pimlico",1103,2025-10-11 14:14:00,"Westbridge Road, Battersea",200210,50951,CLASSIC,8h 9m 8s,29348124,489.1354,Anamoly (>300 mins)
152907339,2025-10-11 02:21:00,"Clapham Common Station, Clapham Common",2694,2025-10-11 17:18:00,"Ferndale Road, Brixton",200240,21156,CLASSIC,14h 57m 8s,53828561,897.1426833333334,Anamoly (>300 mins)
152907012,2025-10-11 01:12:00,"Tooley Street, Bermondsey",1142,2025-10-11 12:59:00,"Pall Mall East, West End",1153,59074,CLASSIC,11h 46m 49s,42409226,706.8204333333333,Anamoly (>300 mins)
152906188,2025-10-10 23:34:00,"Baylis Road, Waterloo",1133,2025-10-12 07:16:00,"Sancroft Street, Vauxhall",3434,21915,CLASSIC,1d 7h 41m 24s,114084207,1901.40345,Anamoly (>300 mins)
152905775,2025-10-10 22:57:00,"Arundel Street, Temple",3455,2025-10-11 16:31:00,"Wapping High Street, Wapping",1039,55043,CLASSIC,17h 34m 36s,63276764,1054.6127333333334,Anamoly (>300 mins)
152905632,2025-10-10 22:42:00,"Westminster Pier, Westminster",300249,2025-10-11 13:18:00,"Westminster Pier, Westminster",300249,41305,CLASSIC,14h 35m 51s,52551820,875.8636666666666,Anamoly (>300 mins)
152905269,2025-10-10 22:16:00,"Carnegie Street, King's Cross",300035,2025-10-11 05:35:00,"Newgate Street , St. Paul's",1074,62695,PBSC_EBIKE,7h 19m 29s,26369768,439.4961333333333,Anamoly (>300 mins)
152904085,2025-10-10 20:58:00,"Shepherd's Bush Road North, Shepherd's Bush",200209,2025-10-11 09:49:00,"Little Brook Green, Brook Green",300101,58302,CLASSIC,12h 50m 50s,46250538,770.8423,Anamoly (>300 mins)
152903994,2025-10-10 20:51:00,"Mostyn Grove, Bow",200174,2025-10-11 18:28:00,Mechanical Workshop Penton,10626,60328,PBSC_EBIKE,21h 36m 16s,77776030,1296.2671666666668,Anamoly (>300 mins)
152903649,2025-10-10 20:33:00,"Pall Mall East, West End",1153,2025-10-11 15:57:00,"Swan Street, The Borough",1216,55516,CLASSIC,19h 24m 5s,69845702,1164.0950333333333,Anamoly (>300 mins)
152903055,2025-10-10 20:06:00,"Chelsea Green, Chelsea",1179,2025-10-11 08:47:00,"Chelsea Green, Chelsea",1179,40595,CLASSIC,12h 41m 2s,45662511,761.04185,Anamoly (>300 mins)
152901818,2025-10-10 19:19:00,"Frampton Street, Paddington",1099,2025-10-17 15:45:00,"Stephendale Road, Sands End",300053,56494,CLASSIC,6d 20h 25m 12s,591912627,9865.21045,Anamoly (>300 mins)
152901031,2025-10-10 18:56:00,"Greycoat Street , Westminster",10623,2025-10-11 02:29:00,"Monument Street, Monument",200101,63162,PBSC_EBIKE,7h 33m 1s,27181047,453.01745,Anamoly (>300 mins)
152900211,2025-10-10 18:36:00,"Bethnal Green Road, Shoreditch",973,2025-10-14 01:24:00,"Buxton Street 1, Shoreditch",1223,54298,CLASSIC,3d 6h 47m 49s,283669291,4727.821516666667,Anamoly (>300 mins)
152899953,2025-10-10 18:31:00,"Birkenhead Street, King's Cross",300212,2025-10-11 18:30:00,Mechanical Workshop Penton,10626,62811,PBSC_EBIKE,23h 59m 15s,86355097,1439.2516166666667,Anamoly (>300 mins)
