Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category,start_hour,end_hour,start_day,start_month,is_weekend,day_type
153051121,2025-10-15 22:45:00,"Curzon Street, Mayfair",3437,2025-10-15 23:01:00,"Grosvenor Road, Pimlico",1140,41391,CLASSIC,16m 10s,970687,16.178116666666668,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051122,2025-10-15 22:45:00,"Bethnal Green Road, Shoreditch",973,2025-10-15 22:58:00,"Long Lane , Bermondsey",1189,54607,CLASSIC,13m 6s,786757,13.112616666666666,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051123,2025-10-15 22:45:00,"Whitehall Place, Strand",1151,2025-10-15 23:28:00,"Star Road, West Kensington",300038,40908,CLASSIC,42m 51s,2571370,42.85616666666667,Long(41-120 mins),22,23,Wednesday,October,False,Weekday
153051124,2025-10-15 22:45:00,"Bethnal Green Road, Shoreditch",973,2025-10-15 22:52:00,"Queensbridge Road, Haggerston",200024,56191,CLASSIC,7m 5s,425349,7.08915,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051125,2025-10-15 22:45:00,"New Cavendish Street, Marylebone",200005,2025-10-15 23:03:00,"New Globe Walk, Bankside",1015,53319,CLASSIC,17m 46s,1066358,17.772633333333335,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051126,2025-10-15 22:45:00,"Waterloo Station 1, Waterloo",2696,2025-10-15 22:53:00,"Carey Street, Holborn",1139,52737,CLASSIC,8m 31s,511617,8.52695,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051127,2025-10-15 22:45:00,"Shoreditch High Street, Shoreditch",3445,2025-10-15 22:54:00,"Belford House, Haggerston",200057,21677,CLASSIC,8m 32s,512355,8.53925,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051128,2025-10-15 22:45:00,"Bethnal Green Road, Shoreditch",973,2025-10-15 22:55:00,"Aylward Street, Stepney",300049,62240,PBSC_EBIKE,9m 43s,583994,9.733233333333333,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051129,2025-10-15 22:45:00,"Woodstock Street, Mayfair",1042,2025-10-15 23:05:00,"De Vere Gardens, Kensington",3446,30386,CLASSIC,20m 19s,1219066,20.317766666666667,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051130,2025-10-15 22:45:00,"Stratford Station, Stratford",300234,2025-10-15 22:58:00,"Maplin Street, Mile End",200230,35326,CLASSIC,12m 52s,772956,12.8826,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051131,2025-10-15 22:45:00,"Moor Street, Soho",3504,2025-10-15 23:20:00,"Furze Green, Bow",200011,41233,CLASSIC,34m 29s,2069374,34.48956666666667,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051132,2025-10-15 22:45:00,"Charles II Street, West End",3488,2025-10-15 23:00:00,"Union Grove, Wandsworth Road",200211,59075,CLASSIC,14m 14s,854288,14.238133333333334,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051133,2025-10-15 22:46:00,"Ampton Street , Clerkenwell",1019,2025-10-15 22:48:00,"Brunswick Square, Bloomsbury",1022,62616,PBSC_EBIKE,2m 14s,134155,2.2359166666666668,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051106,2025-10-15 22:44:00,"Embankment (Savoy), Strand",1192,2025-10-15 23:02:00,"Shadwell Station, Shadwell",200020,58639,CLASSIC,18m 27s,1107350,18.455833333333334,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051107,2025-10-15 22:44:00,"Curlew Street, Shad Thames",1213,2025-10-15 23:06:00,"Normandy Road, Stockwell",300225,61147,PBSC_EBIKE,21m 35s,1295278,21.587966666666667,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051108,2025-10-15 22:44:00,"St. Martin's Street, West End",1158,2025-10-15 23:00:00,"Bermondsey Street, Bermondsey",2637,21367,CLASSIC,15m 38s,938604,15.6434,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051109,2025-10-15 22:44:00,"Gloucester Road (Central), South Kensington",3435,2025-10-15 23:14:00,"Queen's Gate (South), South Kensington",1172,61198,PBSC_EBIKE,29m 27s,1767012,29.4502,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051110,2025-10-15 22:44:00,"Sheepcote Lane, Battersea",200176,2025-10-15 22:49:00,"Ashley Crescent, Battersea",200169,63052,PBSC_EBIKE,4m 40s,280381,4.673016666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051111,2025-10-15 22:44:00,"Kennington Station, Kennington",22170,2025-10-15 22:48:00,"Cranmer Road, Stockwell",300247,54728,CLASSIC,3m 43s,223121,3.7186833333333333,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051112,2025-10-15 22:44:00,"Westbourne Grove, Bayswater",1041,2025-10-15 23:11:00,"Blythe Road, Olympia",200153,52881,CLASSIC,26m 26s,1586589,26.44315,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
